round,wall_clock_seconds_since_start
0,0.05729875199995149
1,7.577361095999549
2,8.407496292999895
3,9.221683840999503
4,9.997782623999228
5,10.773849948999668
6,11.566722672999276
7,12.42284199200003
8,13.229873195999971
9,14.03256680999948
10,14.854167619999316
11,15.675482427999668
12,16.45976001500003
13,17.266952093999862
14,18.10214704899954
15,18.905667413999254
16,19.703413520999675
17,20.521501825000087
18,21.351718979999532
19,22.134871440000097
20,22.945450148999953
