round,loss,accuracy,precision,recall,f1
0,0.6405998468399048,0.9188952213941254,0.9259995582063176,0.9917198959072628,0.9577336074937172
1,0.620424211025238,0.5405523893029373,0.9876430205949657,0.5105275609179086,0.6731129132875858
2,0.580324113368988,0.5368259535291539,0.9948501872659176,0.5027206056304708,0.667923935250668
3,0.5620205402374268,0.5287154756685665,0.9947594092424964,0.49396735273243436,0.6601327853303826
4,0.5572798848152161,0.5245506356861026,0.9951876804619827,0.4892358646794417,0.6559873116574148
5,0.5356912612915039,0.526085050416484,0.9952038369304557,0.4908918854979891,0.6574778200253485
6,0.5205416679382324,0.5267426567295046,0.9956855225311602,0.4913650343032884,0.6580072865515603
7,0.5095787644386292,0.530469092503288,0.995249406175772,0.4956233735509818,0.6617182564750473
8,0.5198373794555664,0.5234546251644016,0.9966134494436382,0.48734326945824463,0.6545916746107404
9,0.5162032246589661,0.5230162209557212,0.9966101694915255,0.4868701206529453,0.6541640178003815
10,0.5168174505233765,0.5232354230600613,0.9966118102613747,0.487106695055595,0.6543778801843319
11,0.5216129422187805,0.5225778167470407,0.9970887918486172,0.48616039744499645,0.6536259541984732
12,0.5133717060089111,0.5258658483121438,0.9971098265895953,0.48970901348474094,0.6568300809138505
13,0.5314953327178955,0.5177553704515563,0.9970573810691515,0.48095576058670453,0.6488988190233004
14,0.5325579643249512,0.5208241999123192,0.9970774476376035,0.4842678022237994,0.6519108280254777
15,0.5309021472930908,0.5217010083296799,0.9970831307729704,0.4852140998343979,0.6527689369828135
16,0.5222404599189758,0.5232354230600613,0.997093023255814,0.4868701206529453,0.6542680019074869
17,0.5322757363319397,0.5203857957036387,0.9970745977571916,0.48379465341850014,0.6514813634915578
18,0.5407156944274902,0.520604997807979,0.9970760233918129,0.48403122782114977,0.6516961299569995
19,0.5382475852966309,0.5223586146427006,0.9966052376333656,0.48616039744499645,0.6535220225791064
20,0.5342641472816467,0.5214818062253398,0.9965986394557823,0.4852140998343979,0.6526650755767701
