round,loss,accuracy,precision,recall,f1
0,0.6405998468399048,0.9188952213941254,0.9259995582063176,0.9917198959072628,0.9577336074937172
1,0.5079324841499329,0.7481367821131083,0.9624399038461539,0.7577478116867755,0.8479152878888153
2,0.5273970365524292,0.7470407715914072,0.9743748070392096,0.7466288147622427,0.8454326279132065
3,0.48087167739868164,0.7426567295046033,0.9789770944461876,0.7381121362668559,0.8416509306717022
4,0.5134386420249939,0.7268741779921087,0.9907803753704314,0.7118523775727467,0.8284691629955947
5,0.5001181960105896,0.5946953090749671,0.9893004115226337,0.5687248639697184,0.722247258524861
6,0.4809128940105438,0.7332310390179746,0.9892717815344604,0.7198959072628341,0.8333561550047925
7,0.48640015721321106,0.7281893906181499,0.9924167490933069,0.7120889519753962,0.8292011019283747
8,0.4625439941883087,0.7343270495396755,0.9902439024390244,0.7203690560681334,0.8340180772391126
9,0.4678811728954315,0.733669443226655,0.990234375,0.7196593328601846,0.8335388409371147
10,0.4679439961910248,0.7297238053485313,0.9930830039525692,0.7132718239886444,0.8302354399008675
11,0.468447208404541,0.7301622095572118,0.9934123847167325,0.7135083983912941,0.8305108082059754
12,0.43487319350242615,0.7360806663743972,0.9918646273999349,0.7210787792760823,0.8350684931506849
13,0.46215686202049255,0.7303814116615519,0.9943912900032993,0.7130352495859948,0.8305318269495728
14,0.46840471029281616,0.7301622095572118,0.9943894389438944,0.7127986751833452,0.8303706765881218
15,0.4534161388874054,0.7341078474353354,0.9918407310704961,0.7189496096522356,0.8336305033603072
16,0.4680241048336029,0.7266549758877685,0.9956753160345975,0.7080671871303525,0.8275957417392507
17,0.4613233506679535,0.7301622095572118,0.9943894389438944,0.7127986751833452,0.8303706765881218
18,0.4698098301887512,0.7281893906181499,0.9953565505804312,0.7099597823515496,0.8287765810549572
19,0.4634135961532593,0.727093380096449,0.9956781914893617,0.7085403359356518,0.8279198341395991
20,0.4617932140827179,0.7275317843051293,0.9956810631229236,0.709013484740951,0.8282437474091474
