round,loss,accuracy,precision,recall,f1
0,0.6405998468399048,0.9188952213941254,0.9259995582063176,0.9917198959072628,0.9577336074937172
1,0.5181646943092346,0.7461639631740464,0.9571045576407506,0.7601135557132718,0.8473101265822784
2,0.5327058434486389,0.7437527400263042,0.9580587177950869,0.7565649396735273,0.8454725710508922
3,0.5619341731071472,0.5872424375274002,0.9650793650793651,0.5753489472439082,0.7209129983696457
4,0.5511996746063232,0.7295046032441912,0.9651849549269506,0.7345635202271115,0.8342289091886083
5,0.5473836064338684,0.7233669443226655,0.9701871233745639,0.7236810977052283,0.8289972899728997
6,0.5232071876525879,0.7288469969311705,0.9677722152690864,0.7317246273953159,0.833355786070322
7,0.5231410264968872,0.7288469969311705,0.9692404268675455,0.7305417553820677,0.8331309861054903
8,0.530605137348175,0.5920648838228847,0.9661150512214342,0.5800804352969009,0.7249076127124907
9,0.539025068283081,0.5935992985532661,0.9699009900990099,0.579370712088952,0.7254146919431279
10,0.5443276166915894,0.5887768522577816,0.9715202567188127,0.5729832032174119,0.7208333333333333
11,0.5326047539710999,0.5933800964489259,0.9698890649762282,0.5791341376863024,0.7252258924603763
12,0.5158983469009399,0.5938185006576063,0.9684293606945541,0.5805535841022001,0.7259281171424345
13,0.523662269115448,0.5942569048662867,0.9706814580031695,0.5796072864916016,0.7258183972744778
14,0.5125125646591187,0.5946953090749671,0.9722001588562351,0.5791341376863024,0.7258710155670868
15,0.5170687437057495,0.5953529153879877,0.9733598409542743,0.5791341376863024,0.7261940077128448
16,0.4942653179168701,0.7279701885138097,0.9788325849903784,0.7220250768866808,0.8310415248468346
17,0.48960867524147034,0.7297238053485313,0.9779693486590039,0.7246273953158269,0.8324500611496127
18,0.4650977849960327,0.7338886453309952,0.9753865572735879,0.7312514785900166,0.8358572201189832
19,0.47033166885375977,0.7332310390179746,0.9768694550063372,0.7293588833688195,0.8351618583231749
20,0.4724871814250946,0.733669443226655,0.9774889029803424,0.7293588833688195,0.8353881587860723
