round,loss,accuracy,precision,recall,f1
0,0.6405998468399048,0.9188952213941254,0.9259995582063176,0.9917198959072628,0.9577336074937172
1,0.6199427843093872,0.9204296361245068,0.9394904458598726,0.9770522829429855,0.9579032819204453
2,0.5671354532241821,0.8222270933800965,0.9593867670790748,0.843860894251242,0.897923222152297
3,0.5167641639709473,0.7845243314335818,0.9674351585014409,0.794180269694819,0.8722879043783293
4,0.5365133285522461,0.5703638754932048,0.986689566337484,0.5436479772888574,0.7010372178157414
5,0.5461877584457397,0.5517316966242876,0.9901168014375562,0.5214099834397918,0.6830931349759801
6,0.5063482522964478,0.5666374397194213,0.9874350086655113,0.5391530636385143,0.6974751338944147
7,0.540052056312561,0.5458132398071022,0.9882193022202084,0.5159687721788503,0.6779608330742928
8,0.5394055247306824,0.541209995615958,0.9890009165902841,0.5105275609179086,0.6734279918864098
9,0.5491546988487244,0.5355107409031127,0.989322191272052,0.5041400520463686,0.667920388653816
10,0.5415529608726501,0.5352915387987724,0.9893172317696238,0.5039034776437189,0.6677115987460815
11,0.5464245080947876,0.5350723366944322,0.9888579387186629,0.5039034776437189,0.6676069581570286
12,0.5478931069374084,0.5339763261727313,0.9897435897435898,0.5022474568251715,0.6663527934714375
13,0.5359132885932922,0.533757124068391,0.9911131898971001,0.501301159214573,0.6658287509819324
14,0.5337849259376526,0.5326611135466901,0.991553261379634,0.49988171279867516,0.6646744259201006
15,0.535664975643158,0.5313459009206488,0.9910672308415609,0.49869884078542703,0.6635190431224426
16,0.5625406503677368,0.526085050416484,0.9933110367892977,0.4918381831085876,0.6579113924050632
17,0.5609992742538452,0.527181060938185,0.994269340974212,0.49254790631653655,0.6587565258661604
18,0.5455411672592163,0.5274002630425252,0.9938006676204101,0.4930210551218358,0.6590765338393422
19,0.536340594291687,0.5280578693555458,0.994280266920877,0.4934942039271351,0.659604743083004
20,0.526369035243988,0.5326611135466901,0.9943369513921662,0.4984622663827774,0.6640403403718877
