round,loss,accuracy,precision,recall,f1
0,0.6405998468399048,0.9188952213941254,0.9259995582063176,0.9917198959072628,0.9577336074937172
1,0.6120662689208984,0.5523893029373081,0.9866369710467706,0.5240123018689378,0.684487021013597
2,0.5744418501853943,0.5418676019289785,0.994447015270708,0.508398391294062,0.6728240450845335
3,0.5617499351501465,0.5346339324857519,0.995291902071563,0.5001182872013248,0.6657219335537711
4,0.548769474029541,0.5344147303814116,0.9952896844088553,0.49988171279867516,0.665511811023622
5,0.5311803817749023,0.5383603682595353,0.9953292853806632,0.5041400520463686,0.6692839195979899
6,0.530096709728241,0.5274002630425252,0.9956917185256103,0.4920747575112373,0.6586447118429386
7,0.5231534242630005,0.5280578693555458,0.995697896749522,0.4927844807191862,0.6592815318879569
8,0.5193732976913452,0.5287154756685665,0.9976042165788213,0.49254790631653655,0.6594868546088059
9,0.5257387757301331,0.527181060938185,0.9975961538461539,0.4908918854979891,0.6579990486760742
10,0.5242195725440979,0.5269618588338448,0.9975949975949976,0.4906553110953395,0.6577862353314304
11,0.5256198048591614,0.5256466462078035,0.9975880366618427,0.4892358646794417,0.6565079365079365
12,0.5209224820137024,0.5280578693555458,0.99712368168744,0.4920747575112373,0.6589577063202915
13,0.522962749004364,0.5221394125383604,0.997569275644142,0.4854506742370476,0.6530872056015277
14,0.5270859003067017,0.5241122314774221,0.9970986460348162,0.4878164182635439,0.6551231135822081
15,0.5243044495582581,0.5280578693555458,0.99712368168744,0.4920747575112373,0.6589577063202915
16,0.5366568565368652,0.5219202104340201,0.997568093385214,0.4852140998343979,0.6528728314499443
17,0.5358169674873352,0.5236738272687418,0.9970958373668926,0.48734326945824463,0.6546956936278404
18,0.5309697985649109,0.5236738272687418,0.996615087040619,0.48757984386089426,0.6548054011119937
19,0.5336435437202454,0.5212626041209996,0.9965969859017987,0.48497752543174827,0.6524506683640993
20,0.5341029167175293,0.5232354230600613,0.9961315280464217,0.48734326945824463,0.6544876886417792
